district,sector,year,value_rs_cr,rank,growth_pct,contribution_pct
SRIKAKULAM,Agriculture,2022-23 (TRE),2178,12,,4.41
SRIKAKULAM,Agriculture,2023-24 (SRE),1938.1778396905945,11,-11.02,4.19
SRIKAKULAM,Agriculture,2024-25 (FRE),2245,11,15.84,4.06
SRIKAKULAM,Agriculture,2025-26 (FAE),2255.4076758809842,12,0.45,3.93
VIZIANAGARAM,Agriculture,2022-23 (TRE),1644,15,,3.33
VIZIANAGARAM,Agriculture,2023-24 (SRE),1542.8118149590923,14,-6.14,3.34
VIZIANAGARAM,Agriculture,2024-25 (FRE),1804,14,16.92,3.27
VIZIANAGARAM,Agriculture,2025-26 (FAE),2071.0718011810322,14,14.8,3.61
PARVATHIPURAM MANYAM,Agriculture,2022-23 (TRE),949,21,,1.92
PARVATHIPURAM MANYAM,Agriculture,2023-24 (SRE),885.543024985331,21,-6.64,1.92
PARVATHIPURAM MANYAM,Agriculture,2024-25 (FRE),1045,21,17.95,1.89
PARVATHIPURAM MANYAM,Agriculture,2025-26 (FAE),1192.8458322084928,21,14.16,2.08
ALLURI SEETHA RAMA RAJU,Agriculture,2022-23 (TRE),554,26,,1.12
ALLURI SEETHA RAMA RAJU,Agriculture,2023-24 (SRE),362.76017831996023,26,-34.48,0.78
ALLURI SEETHA RAMA RAJU,Agriculture,2024-25 (FRE),574,26,58.13,1.04
ALLURI SEETHA RAMA RAJU,Agriculture,2025-26 (FAE),494.58335516140306,25,-13.76,0.86
POLAVARAM,Agriculture,2022-23 (TRE),208,27,,0.42
POLAVARAM,Agriculture,2023-24 (SRE),131.8561861479287,27,-36.54,0.29
POLAVARAM,Agriculture,2024-25 (FRE),277,27,109.85,0.5
POLAVARAM,Agriculture,2025-26 (FAE),242.23875234621084,27,-12.64,0.42
VISAKHAPATNAM,Agriculture,2022-23 (TRE),84,28,,0.17
VISAKHAPATNAM,Agriculture,2023-24 (SRE),81.58604882873352,28,-2.38,0.18
VISAKHAPATNAM,Agriculture,2024-25 (FRE),91,28,10.98,0.16
VISAKHAPATNAM,Agriculture,2025-26 (FAE),75.2771367075003,28,-17.58,0.13
ANAKAPALLE,Agriculture,2022-23 (TRE),756,25,,1.53
ANAKAPALLE,Agriculture,2023-24 (SRE),563.9753460147108,24,-25.4,1.22
ANAKAPALLE,Agriculture,2024-25 (FRE),815,23,44.5,1.48
ANAKAPALLE,Agriculture,2025-26 (FAE),940.2673577618466,23,15.34,1.64
KAKINADA,Agriculture,2022-23 (TRE),1847,14,,3.74
KAKINADA,Agriculture,2023-24 (SRE),2010.0861010395017,10,8.83,4.35
KAKINADA,Agriculture,2024-25 (FRE),2352,10,17.01,4.26
KAKINADA,Agriculture,2025-26 (FAE),2352.994856045675,10,0.04,4.1
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2022-23 (TRE),1222,18,,2.47
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2023-24 (SRE),1270.712912333667,18,4.01,2.75
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2024-25 (FRE),1368,18,7.63,2.48
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2025-26 (FAE),1475.3511309436885,18,7.82,2.57
EAST GODAVARI,Agriculture,2022-23 (TRE),2720,6,,5.5
EAST GODAVARI,Agriculture,2023-24 (SRE),3046.0419655979426,5,11.99,6.59
EAST GODAVARI,Agriculture,2024-25 (FRE),3169,6,4.04,5.74
EAST GODAVARI,Agriculture,2025-26 (FAE),3340.0280347959106,5,5.4,5.82
WEST GODAVARI,Agriculture,2022-23 (TRE),2264,9,,4.58
WEST GODAVARI,Agriculture,2023-24 (SRE),2478.855338789468,8,9.5,5.36
WEST GODAVARI,Agriculture,2024-25 (FRE),2641,9,6.53,4.78
WEST GODAVARI,Agriculture,2025-26 (FAE),2683.5755901234324,9,1.63,4.68
ELURU,Agriculture,2022-23 (TRE),2991,4,,6.05
ELURU,Agriculture,2023-24 (SRE),3157.372123922981,3,5.55,6.83
ELURU,Agriculture,2024-25 (FRE),3128,7,-0.92,5.66
ELURU,Agriculture,2025-26 (FAE),3080.346965145976,8,-1.53,5.37
KRISHNA,Agriculture,2022-23 (TRE),3573,2,,7.23
KRISHNA,Agriculture,2023-24 (SRE),3408.889410916471,2,-4.59,7.37
KRISHNA,Agriculture,2024-25 (FRE),3680,4,7.95,6.66
KRISHNA,Agriculture,2025-26 (FAE),3374.48307021431,4,-8.32,5.88
NTR,Agriculture,2022-23 (TRE),1386,16,,2.8
NTR,Agriculture,2023-24 (SRE),1118.7114291809182,19,-19.26,2.42
NTR,Agriculture,2024-25 (FRE),1345,19,20.2,2.43
NTR,Agriculture,2025-26 (FAE),1752.166562140509,16,30.26,3.05
GUNTUR,Agriculture,2022-23 (TRE),1994,13,,4.03
GUNTUR,Agriculture,2023-24 (SRE),1847.59728285302,12,-7.32,4
GUNTUR,Agriculture,2024-25 (FRE),2239,12,21.16,4.05
GUNTUR,Agriculture,2025-26 (FAE),2291.7789677041224,11,2.37,3.99
BAPATLA,Agriculture,2022-23 (TRE),2924,5,,5.92
BAPATLA,Agriculture,2023-24 (SRE),3487.219982176101,1,19.25,7.54
BAPATLA,Agriculture,2024-25 (FRE),3315,5,-4.93,6
BAPATLA,Agriculture,2025-26 (FAE),4361.702838856094,2,31.58,7.6
PALNADU,Agriculture,2022-23 (TRE),2315,8,,4.68
PALNADU,Agriculture,2023-24 (SRE),1545.934752966145,13,-33.22,3.34
PALNADU,Agriculture,2024-25 (FRE),2708,8,75.16,4.9
PALNADU,Agriculture,2025-26 (FAE),3311.2217161140074,6,22.27,5.77
MARKAPURAM,Agriculture,2022-23 (TRE),908,22,,1.84
MARKAPURAM,Agriculture,2023-24 (SRE),929.7621205949332,20,2.42,2.01
MARKAPURAM,Agriculture,2024-25 (FRE),1515,16,62.9,2.74
MARKAPURAM,Agriculture,2025-26 (FAE),1305.935693919494,20,-13.8,2.28
PRAKASAM,Agriculture,2022-23 (TRE),2231,10,,4.51
PRAKASAM,Agriculture,2023-24 (SRE),3082.655307632497,4,38.19,6.67
PRAKASAM,Agriculture,2024-25 (FRE),4087,1,32.57,7.4
PRAKASAM,Agriculture,2025-26 (FAE),1980.3379653576212,15,-51.55,3.45
SPS NELLORE,Agriculture,2022-23 (TRE),2491,7,,5.04
SPS NELLORE,Agriculture,2023-24 (SRE),2622.5341727841574,7,5.3,5.67
SPS NELLORE,Agriculture,2024-25 (FRE),2222,13,-15.29,4.02
SPS NELLORE,Agriculture,2025-26 (FAE),3118.7088184739573,7,40.37,5.43
KURNOOL,Agriculture,2022-23 (TRE),3713,1,,7.51
KURNOOL,Agriculture,2023-24 (SRE),2115.4936972418704,9,-43.04,4.57
KURNOOL,Agriculture,2024-25 (FRE),4028,2,90.45,7.29
KURNOOL,Agriculture,2025-26 (FAE),3872.0378419811796,3,-3.87,6.75
NANDYAL,Agriculture,2022-23 (TRE),3037,3,,6.15
NANDYAL,Agriculture,2023-24 (SRE),2656.5972237989995,6,-12.51,5.75
NANDYAL,Agriculture,2024-25 (FRE),3894,3,46.56,7.05
NANDYAL,Agriculture,2025-26 (FAE),4533.870774293512,1,16.44,7.9
ANANTHAPURAMU,Agriculture,2022-23 (TRE),2230,11,,4.51
ANANTHAPURAMU,Agriculture,2023-24 (SRE),1351.731515504074,15,-39.37,2.92
ANANTHAPURAMU,Agriculture,2024-25 (FRE),1711,15,26.55,3.1
ANANTHAPURAMU,Agriculture,2025-26 (FAE),2100.9558682298616,13,22.79,3.66
SRI SATYA SAI,Agriculture,2022-23 (TRE),980,20,,1.98
SRI SATYA SAI,Agriculture,2023-24 (SRE),760.0884412581239,22,-22.45,1.64
SRI SATYA SAI,Agriculture,2024-25 (FRE),1004,22,32.11,1.82
SRI SATYA SAI,Agriculture,2025-26 (FAE),1131.343946040082,22,12.65,1.97
YSR KADAPA,Agriculture,2022-23 (TRE),1381,17,,2.79
YSR KADAPA,Agriculture,2023-24 (SRE),1338.7399561167488,16,-3.04,2.9
YSR KADAPA,Agriculture,2024-25 (FRE),1422,17,6.2,2.57
YSR KADAPA,Agriculture,2025-26 (FAE),1455.0933133771111,19,2.32,2.53
ANNAMAYYA,Agriculture,2022-23 (TRE),781,24,,1.58
ANNAMAYYA,Agriculture,2023-24 (SRE),538.9019534564368,25,-30.99,1.17
ANNAMAYYA,Agriculture,2024-25 (FRE),687,25,27.46,1.24
ANNAMAYYA,Agriculture,2025-26 (FAE),377.44842551673946,26,-45.12,0.66
CHITTOOR,Agriculture,2022-23 (TRE),882,23,,1.78
CHITTOOR,Agriculture,2023-24 (SRE),652.725934304171,23,-25.96,1.41
CHITTOOR,Agriculture,2024-25 (FRE),694,24,6.28,1.26
CHITTOOR,Agriculture,2025-26 (FAE),575.4675321805014,24,-17.15,1
TIRUPATI,Agriculture,2022-23 (TRE),1176,19,,2.38
TIRUPATI,Agriculture,2023-24 (SRE),1313.7615038078739,17,11.73,2.84
TIRUPATI,Agriculture,2024-25 (FRE),1186,20,-9.74,2.15
TIRUPATI,Agriculture,2025-26 (FAE),1658.9623445687248,17,39.88,2.89
SRIKAKULAM,Horticulture,2022-23 (TRE),1957.5176694669108,23,,1.62
SRIKAKULAM,Horticulture,2023-24 (SRE),1751.4589785415199,25,-10.57,1.39
SRIKAKULAM,Horticulture,2024-25 (FRE),2038,24,16.39,1.43
SRIKAKULAM,Horticulture,2025-26 (FAE),1740.9886402198106,25,-14.57,1.22
VIZIANAGARAM,Horticulture,2022-23 (TRE),2731.704383947737,19,,2.27
VIZIANAGARAM,Horticulture,2023-24 (SRE),3131.5829502084066,17,14.64,2.49
VIZIANAGARAM,Horticulture,2024-25 (FRE),3810,15,21.65,2.68
VIZIANAGARAM,Horticulture,2025-26 (FAE),2958.691087834189,18,-22.34,2.08
PARVATHIPURAM MANYAM,Horticulture,2022-23 (TRE),3392.1358572741633,13,,2.81
PARVATHIPURAM MANYAM,Horticulture,2023-24 (SRE),2327.5676038113156,21,-31.37,1.85
PARVATHIPURAM MANYAM,Horticulture,2024-25 (FRE),3021,20,29.77,2.13
PARVATHIPURAM MANYAM,Horticulture,2025-26 (FAE),2891.9532518366113,20,-4.27,2.03
ALLURI SEETHA RAMA RAJU,Horticulture,2022-23 (TRE),4502.072742408472,10,,3.73
ALLURI SEETHA RAMA RAJU,Horticulture,2023-24 (SRE),4623.757864983822,9,2.71,3.67
ALLURI SEETHA RAMA RAJU,Horticulture,2024-25 (FRE),7147,6,54.56,5.03
ALLURI SEETHA RAMA RAJU,Horticulture,2025-26 (FAE),8875.159111626514,4,24.18,6.22
POLAVARAM,Horticulture,2022-23 (TRE),564.1336158986494,26,,0.47
POLAVARAM,Horticulture,2023-24 (SRE),532.2610365802051,28,-5.67,0.42
POLAVARAM,Horticulture,2024-25 (FRE),866,27,62.78,0.61
POLAVARAM,Horticulture,2025-26 (FAE),1466.421730823666,27,69.28,1.03
VISAKHAPATNAM,Horticulture,2022-23 (TRE),469.96235019004035,28,,0.39
VISAKHAPATNAM,Horticulture,2023-24 (SRE),616.7736270325507,27,31.28,0.49
VISAKHAPATNAM,Horticulture,2024-25 (FRE),746,28,20.91,0.53
VISAKHAPATNAM,Horticulture,2025-26 (FAE),996.819626545607,28,33.65,0.7
ANAKAPALLE,Horticulture,2022-23 (TRE),1788.6756320180702,24,,1.48
ANAKAPALLE,Horticulture,2023-24 (SRE),1875.9876652711384,24,4.86,1.49
ANAKAPALLE,Horticulture,2024-25 (FRE),2287,23,21.91,1.61
ANAKAPALLE,Horticulture,2025-26 (FAE),2299.556417479899,22,0.57,1.61
KAKINADA,Horticulture,2022-23 (TRE),2256.918874838082,21,,1.87
KAKINADA,Horticulture,2023-24 (SRE),2368.224613014339,20,4.92,1.88
KAKINADA,Horticulture,2024-25 (FRE),3072,19,29.73,2.16
KAKINADA,Horticulture,2025-26 (FAE),2956.8323732687395,19,-3.74,2.07
DR.B.R.AMBEDKAR KONASEEMA,Horticulture,2022-23 (TRE),2805.4737192902603,18,,2.33
DR.B.R.AMBEDKAR KONASEEMA,Horticulture,2023-24 (SRE),2642.377169836461,19,-5.81,2.1
DR.B.R.AMBEDKAR KONASEEMA,Horticulture,2024-25 (FRE),3785,16,43.26,2.66
DR.B.R.AMBEDKAR KONASEEMA,Horticulture,2025-26 (FAE),4656.558423618763,13,23.04,3.27
EAST GODAVARI,Horticulture,2022-23 (TRE),4435.557928190651,11,,3.68
EAST GODAVARI,Horticulture,2023-24 (SRE),5050.647995091765,8,13.86,4.01
EAST GODAVARI,Horticulture,2024-25 (FRE),6912,7,36.84,4.87
EAST GODAVARI,Horticulture,2025-26 (FAE),6259.838203444761,10,-9.43,4.39
WEST GODAVARI,Horticulture,2022-23 (TRE),506.37076852244735,27,,0.42
WEST GODAVARI,Horticulture,2023-24 (SRE),1076.790527319477,26,112.85,0.86
WEST GODAVARI,Horticulture,2024-25 (FRE),1530,26,42.06,1.08
WEST GODAVARI,Horticulture,2025-26 (FAE),1605.01581389778,26,4.9,1.13
ELURU,Horticulture,2022-23 (TRE),6671.767553026172,5,,5.53
ELURU,Horticulture,2023-24 (SRE),6149.467319641931,6,-7.84,4.89
ELURU,Horticulture,2024-25 (FRE),9033,4,46.9,6.36
ELURU,Horticulture,2025-26 (FAE),7308.45719496033,5,-19.1,5.12
KRISHNA,Horticulture,2022-23 (TRE),1457.0470877106711,25,,1.21
KRISHNA,Horticulture,2023-24 (SRE),2069.476089189793,22,42,1.64
KRISHNA,Horticulture,2024-25 (FRE),2380,22,15.03,1.68
KRISHNA,Horticulture,2025-26 (FAE),2124.3821367812857,24,-10.76,1.49
NTR,Horticulture,2022-23 (TRE),3245.0396441892644,14,,2.69
NTR,Horticulture,2023-24 (SRE),4463.4082965539865,12,37.53,3.55
NTR,Horticulture,2024-25 (FRE),3994,14,-10.51,2.81
NTR,Horticulture,2025-26 (FAE),3978.2491921658498,15,-0.4,2.79
GUNTUR,Horticulture,2022-23 (TRE),2807.9116958607797,17,,2.33
GUNTUR,Horticulture,2023-24 (SRE),3697.6679259743846,15,31.7,2.94
GUNTUR,Horticulture,2024-25 (FRE),3200,18,-13.47,2.25
GUNTUR,Horticulture,2025-26 (FAE),3459.136039862,16,8.09,2.43
BAPATLA,Horticulture,2022-23 (TRE),1968.388340206766,22,,1.63
BAPATLA,Horticulture,2023-24 (SRE),2061.114360015612,23,4.73,1.64
BAPATLA,Horticulture,2024-25 (FRE),1543,25,-25.13,1.09
BAPATLA,Horticulture,2025-26 (FAE),2198.730480849287,23,42.51,1.54
PALNADU,Horticulture,2022-23 (TRE),6086.474262856027,6,,5.05
PALNADU,Horticulture,2023-24 (SRE),6176.442570422858,5,1.48,4.91
PALNADU,Horticulture,2024-25 (FRE),4960,12,-19.69,3.49
PALNADU,Horticulture,2025-26 (FAE),5649.578772375199,11,13.91,3.96
MARKAPURAM,Horticulture,2022-23 (TRE),2864.3405113291974,16,,2.37
MARKAPURAM,Horticulture,2023-24 (SRE),3861.166583189283,14,34.81,3.07
MARKAPURAM,Horticulture,2024-25 (FRE),4365,13,13.05,3.07
MARKAPURAM,Horticulture,2025-26 (FAE),4123.602725273626,14,-5.52,2.89
PRAKASAM,Horticulture,2022-23 (TRE),2546.414411252449,20,,2.11
PRAKASAM,Horticulture,2023-24 (SRE),3431.9638701009044,16,34.8,2.73
PRAKASAM,Horticulture,2024-25 (FRE),2569,21,-25.15,1.81
PRAKASAM,Horticulture,2025-26 (FAE),2602.9976587698793,21,1.32,1.83
SPS NELLORE,Horticulture,2022-23 (TRE),2945.010524666428,15,,2.44
SPS NELLORE,Horticulture,2023-24 (SRE),3045.210805911041,18,3.4,2.42
SPS NELLORE,Horticulture,2024-25 (FRE),3521,17,15.63,2.48
SPS NELLORE,Horticulture,2025-26 (FAE),3280.7733696672653,17,-6.82,2.3
KURNOOL,Horticulture,2022-23 (TRE),9810.446491022842,3,,8.13
KURNOOL,Horticulture,2023-24 (SRE),9008.063615624,3,-8.18,7.16
KURNOOL,Horticulture,2024-25 (FRE),8586,5,-4.68,6.05
KURNOOL,Horticulture,2025-26 (FAE),6890.105252281851,7,-19.75,4.83
NANDYAL,Horticulture,2022-23 (TRE),5481.064717004131,8,,4.55
NANDYAL,Horticulture,2023-24 (SRE),5868.280510508064,7,7.06,4.66
NANDYAL,Horticulture,2024-25 (FRE),5959,10,1.55,4.2
NANDYAL,Horticulture,2025-26 (FAE),6518.4126698245245,8,9.38,4.57
ANANTHAPURAMU,Horticulture,2022-23 (TRE),16519.142104244205,1,,13.7
ANANTHAPURAMU,Horticulture,2023-24 (SRE),16092.505792354232,1,-2.58,12.79
ANANTHAPURAMU,Horticulture,2024-25 (FRE),16129,1,0.22,11.36
ANANTHAPURAMU,Horticulture,2025-26 (FAE),16588.12569768818,1,2.85,11.63
SRI SATYA SAI,Horticulture,2022-23 (TRE),6988.911190263683,4,,5.8
SRI SATYA SAI,Horticulture,2023-24 (SRE),8885.274499743951,4,27.13,7.06
SRI SATYA SAI,Horticulture,2024-25 (FRE),10898,3,22.66,7.67
SRI SATYA SAI,Horticulture,2025-26 (FAE),11418.04508105787,3,4.77,8.01
YSR KADAPA,Horticulture,2022-23 (TRE),11037.514861222102,2,,9.15
YSR KADAPA,Horticulture,2023-24 (SRE),11515.680756843889,2,4.33,9.15
YSR KADAPA,Horticulture,2024-25 (FRE),11683,2,1.45,8.23
YSR KADAPA,Horticulture,2025-26 (FAE),11487.183911848608,2,-1.68,8.06
ANNAMAYYA,Horticulture,2022-23 (TRE),4632.024830904164,9,,3.84
ANNAMAYYA,Horticulture,2023-24 (SRE),4587.339036232728,10,-0.97,3.65
ANNAMAYYA,Horticulture,2024-25 (FRE),5520,11,20.34,3.89
ANNAMAYYA,Horticulture,2025-26 (FAE),4858.0233767327445,12,-11.99,3.41
CHITTOOR,Horticulture,2022-23 (TRE),5750.550021546462,7,,4.77
CHITTOOR,Horticulture,2023-24 (SRE),4564.210657030353,11,-20.64,3.63
CHITTOOR,Horticulture,2024-25 (FRE),6261,8,37.18,4.41
CHITTOOR,Horticulture,2025-26 (FAE),6273.819762568333,9,0.21,4.4
TIRUPATI,Horticulture,2022-23 (TRE),4371.336529872328,12,,3.62
TIRUPATI,Horticulture,2023-24 (SRE),4367.7394362241075,13,-0.07,3.47
TIRUPATI,Horticulture,2024-25 (FRE),6219,9,42.38,4.38
TIRUPATI,Horticulture,2025-26 (FAE),7127.546581762946,6,14.62,5
SRIKAKULAM,Live stock,2022-23 (TRE),5140.648984197077,14,,3.51
SRIKAKULAM,Live stock,2023-24 (SRE),5851,12,13.81,3.79
SRIKAKULAM,Live stock,2024-25 (FRE),5751.7692438129625,15,-1.69,3.5
SRIKAKULAM,Live stock,2025-26 (FAE),5885,17,2.31,3.34
VIZIANAGARAM,Live stock,2022-23 (TRE),6249.711816929677,8,,4.27
VIZIANAGARAM,Live stock,2023-24 (SRE),5890,11,-5.76,3.81
VIZIANAGARAM,Live stock,2024-25 (FRE),5694.654281398827,16,-3.31,3.46
VIZIANAGARAM,Live stock,2025-26 (FAE),6752,14,18.56,3.83
PARVATHIPURAM MANYAM,Live stock,2022-23 (TRE),1740.7238762207148,25,,1.19
PARVATHIPURAM MANYAM,Live stock,2023-24 (SRE),1805,25,3.68,1.17
PARVATHIPURAM MANYAM,Live stock,2024-25 (FRE),1859.9289070269845,26,3.05,1.13
PARVATHIPURAM MANYAM,Live stock,2025-26 (FAE),1831,25,-1.56,1.04
ALLURI SEETHA RAMA RAJU,Live stock,2022-23 (TRE),1491.4580861533902,26,,1.02
ALLURI SEETHA RAMA RAJU,Live stock,2023-24 (SRE),1750,26,17.37,1.13
ALLURI SEETHA RAMA RAJU,Live stock,2024-25 (FRE),1977.9509901542376,24,13.03,1.2
ALLURI SEETHA RAMA RAJU,Live stock,2025-26 (FAE),1716,26,-13.25,0.97
POLAVARAM,Live stock,2022-23 (TRE),713.8815187179523,28,,0.49
POLAVARAM,Live stock,2023-24 (SRE),760,28,6.44,0.49
POLAVARAM,Live stock,2024-25 (FRE),1025.4270426490548,28,34.87,0.62
POLAVARAM,Live stock,2025-26 (FAE),1041,28,1.56,0.59
VISAKHAPATNAM,Live stock,2022-23 (TRE),1275.6758485497423,27,,0.87
VISAKHAPATNAM,Live stock,2023-24 (SRE),1191,27,-6.66,0.77
VISAKHAPATNAM,Live stock,2024-25 (FRE),1211.8746432439027,27,1.76,0.74
VISAKHAPATNAM,Live stock,2025-26 (FAE),1527,27,25.99,0.87
ANAKAPALLE,Live stock,2022-23 (TRE),5587.50760027861,13,,3.82
ANAKAPALLE,Live stock,2023-24 (SRE),5043,17,-9.75,3.26
ANAKAPALLE,Live stock,2024-25 (FRE),5278.4072887554275,17,4.66,3.21
ANAKAPALLE,Live stock,2025-26 (FAE),5992,16,13.53,3.4
KAKINADA,Live stock,2022-23 (TRE),4964.5062709869235,15,,3.39
KAKINADA,Live stock,2023-24 (SRE),5842,13,17.66,3.78
KAKINADA,Live stock,2024-25 (FRE),6385.623835787002,12,9.31,3.88
KAKINADA,Live stock,2025-26 (FAE),7638,10,19.61,4.34
DR.B.R.AMBEDKAR KONASEEMA,Live stock,2022-23 (TRE),2368.3673766476354,24,,1.62
DR.B.R.AMBEDKAR KONASEEMA,Live stock,2023-24 (SRE),2642,24,11.57,1.71
DR.B.R.AMBEDKAR KONASEEMA,Live stock,2024-25 (FRE),1969.2694183022174,25,-25.47,1.2
DR.B.R.AMBEDKAR KONASEEMA,Live stock,2025-26 (FAE),2004,24,1.78,1.14
EAST GODAVARI,Live stock,2022-23 (TRE),11792.254380067587,1,,8.06
EAST GODAVARI,Live stock,2023-24 (SRE),10856,1,-7.94,7.02
EAST GODAVARI,Live stock,2024-25 (FRE),9361.730049439679,4,-13.76,5.69
EAST GODAVARI,Live stock,2025-26 (FAE),10912,2,16.56,6.19
WEST GODAVARI,Live stock,2022-23 (TRE),3914.6969511833995,19,,2.68
WEST GODAVARI,Live stock,2023-24 (SRE),3692,22,-5.7,2.39
WEST GODAVARI,Live stock,2024-25 (FRE),4354.086357985943,21,17.93,2.65
WEST GODAVARI,Live stock,2025-26 (FAE),4765,21,9.44,2.71
ELURU,Live stock,2022-23 (TRE),9849.935571226843,2,,6.73
ELURU,Live stock,2023-24 (SRE),9178,3,-6.82,5.94
ELURU,Live stock,2024-25 (FRE),10226.001612772183,2,11.42,6.21
ELURU,Live stock,2025-26 (FAE),11326,1,10.76,6.43
KRISHNA,Live stock,2022-23 (TRE),5773.548785690788,11,,3.95
KRISHNA,Live stock,2023-24 (SRE),5231,16,-9.4,3.38
KRISHNA,Live stock,2024-25 (FRE),6132.281776891193,14,17.22,3.73
KRISHNA,Live stock,2025-26 (FAE),6358,15,3.69,3.61
NTR,Live stock,2022-23 (TRE),3503.82830647613,22,,2.4
NTR,Live stock,2023-24 (SRE),4041,20,15.33,2.61
NTR,Live stock,2024-25 (FRE),4819.315511892252,20,19.25,2.93
NTR,Live stock,2025-26 (FAE),5145,19,6.76,2.92
GUNTUR,Live stock,2022-23 (TRE),3434.182951161107,23,,2.35
GUNTUR,Live stock,2023-24 (SRE),3583,23,4.34,2.32
GUNTUR,Live stock,2024-25 (FRE),3891.5383187430507,23,8.62,2.37
GUNTUR,Live stock,2025-26 (FAE),3982,23,2.31,2.26
BAPATLA,Live stock,2022-23 (TRE),3726.4595059765934,21,,2.55
BAPATLA,Live stock,2023-24 (SRE),3846,21,3.22,2.49
BAPATLA,Live stock,2024-25 (FRE),4075.7388901847894,22,5.98,2.48
BAPATLA,Live stock,2025-26 (FAE),4367,22,7.14,2.48
PALNADU,Live stock,2022-23 (TRE),6228.926787316737,9,,4.26
PALNADU,Live stock,2023-24 (SRE),6782,8,8.88,4.39
PALNADU,Live stock,2024-25 (FRE),7494.006645130338,9,10.5,4.55
PALNADU,Live stock,2025-26 (FAE),7681,9,2.5,4.36
MARKAPURAM,Live stock,2022-23 (TRE),4873.4339316803425,16,,3.33
MARKAPURAM,Live stock,2023-24 (SRE),5424,15,11.31,3.51
MARKAPURAM,Live stock,2024-25 (FRE),6367.843523126594,13,17.4,3.87
MARKAPURAM,Live stock,2025-26 (FAE),6944,13,9.05,3.94
PRAKASAM,Live stock,2022-23 (TRE),5856.357842026623,10,,4
PRAKASAM,Live stock,2023-24 (SRE),6282,10,7.27,4.06
PRAKASAM,Live stock,2024-25 (FRE),7695.864854134511,8,22.51,4.68
PRAKASAM,Live stock,2025-26 (FAE),8399,7,9.13,4.77
SPS NELLORE,Live stock,2022-23 (TRE),7898.64614290251,5,,5.4
SPS NELLORE,Live stock,2023-24 (SRE),8431,5,6.74,5.46
SPS NELLORE,Live stock,2024-25 (FRE),8597.823274570977,5,1.98,5.23
SPS NELLORE,Live stock,2025-26 (FAE),9342,6,8.65,5.3
KURNOOL,Live stock,2022-23 (TRE),3785.03020874794,20,,2.59
KURNOOL,Live stock,2023-24 (SRE),4261,19,12.58,2.76
KURNOOL,Live stock,2024-25 (FRE),4889.689910908959,19,14.76,2.97
KURNOOL,Live stock,2025-26 (FAE),4881,20,-0.18,2.77
NANDYAL,Live stock,2022-23 (TRE),4044.397579469675,18,,2.76
NANDYAL,Live stock,2023-24 (SRE),4487,18,10.95,2.9
NANDYAL,Live stock,2024-25 (FRE),5037.779614434752,18,12.28,3.06
NANDYAL,Live stock,2025-26 (FAE),5501,18,9.19,3.12
ANANTHAPURAMU,Live stock,2022-23 (TRE),6631.568284413092,7,,4.53
ANANTHAPURAMU,Live stock,2023-24 (SRE),8358,6,26.03,5.41
ANANTHAPURAMU,Live stock,2024-25 (FRE),9479.372128879144,3,13.41,5.76
ANANTHAPURAMU,Live stock,2025-26 (FAE),9554,4,0.79,5.42
SRI SATYA SAI,Live stock,2022-23 (TRE),9112.030384052687,3,,6.23
SRI SATYA SAI,Live stock,2023-24 (SRE),10389,2,14.01,6.72
SRI SATYA SAI,Live stock,2024-25 (FRE),10542.299157255567,1,1.47,6.41
SRI SATYA SAI,Live stock,2025-26 (FAE),9932,3,-5.79,5.64
YSR KADAPA,Live stock,2022-23 (TRE),4853.442108572625,17,,3.32
YSR KADAPA,Live stock,2023-24 (SRE),5758,14,18.65,3.73
YSR KADAPA,Live stock,2024-25 (FRE),6900.826537782887,10,19.85,4.19
YSR KADAPA,Live stock,2025-26 (FAE),7544,11,9.32,4.28
ANNAMAYYA,Live stock,2022-23 (TRE),7021.909827743643,6,,4.8
ANNAMAYYA,Live stock,2023-24 (SRE),8056,7,14.73,5.21
ANNAMAYYA,Live stock,2024-25 (FRE),8343.01964181453,7,3.56,5.07
ANNAMAYYA,Live stock,2025-26 (FAE),8050,8,-3.51,4.57
CHITTOOR,Live stock,2022-23 (TRE),8765.926018526188,4,,5.99
CHITTOOR,Live stock,2023-24 (SRE),8583,4,-2.09,5.55
CHITTOOR,Live stock,2024-25 (FRE),8349.839907326437,6,-2.71,5.07
CHITTOOR,Live stock,2025-26 (FAE),9549,5,14.36,5.42
TIRUPATI,Live stock,2022-23 (TRE),5671.509808043559,12,,3.88
TIRUPATI,Live stock,2023-24 (SRE),6528,9,15.09,4.22
TIRUPATI,Live stock,2024-25 (FRE),6828.751928175255,11,4.61,4.15
TIRUPATI,Live stock,2025-26 (FAE),7533,12,10.31,4.28
SRIKAKULAM,Forestry & Logging,2022-23 (TRE),235.6267060234759,16,,2.61
SRIKAKULAM,Forestry & Logging,2023-24 (SRE),248,16,5.08,2.54
SRIKAKULAM,Forestry & Logging,2024-25 (FRE),254.57010024827338,16,2.82,2.55
SRIKAKULAM,Forestry & Logging,2025-26 (FAE),352.31006900710264,15,38.04,3.41
VIZIANAGARAM,Forestry & Logging,2022-23 (TRE),176.39069916524682,19,,1.95
